ID,Date,Analog Data,Force (g)
0,2024-01-11 00:18:18.778644,42,1.936633015
1,2024-01-11 00:18:19.136217,1418,538.248168945
2,2024-01-11 00:18:19.481279,1776,912.035644531
3,2024-01-11 00:18:19.906609,1814,962.559020996
4,2024-01-11 00:18:20.286679,1876,1050.567871094
5,2024-01-11 00:18:20.666394,1894,1077.496826172
6,2024-01-11 00:18:21.046955,1918,1114.421264648
7,2024-01-11 00:18:21.427653,1940,1149.328369141
8,2024-01-11 00:18:21.808443,1575,681.962646484
9,2024-01-11 00:18:22.736090,459,69.193771362
10,2024-01-11 00:18:23.140497,1776,912.035644531
11,2024-01-11 00:18:23.520626,1885,1063.951538086
12,2024-01-11 00:18:25.385228,43,2.003632784
13,2024-01-11 23:03:46.518672,46,2.208889961
14,2024-01-11 23:03:46.885955,982,256.450500488
15,2024-01-11 23:03:47.245405,1115,327.366638184
16,2024-01-11 23:03:47.606773,1291,440.453125000
17,2024-01-11 23:03:47.988240,1451,566.212585449
18,2024-01-11 23:03:48.347947,1503,612.621337891
19,2024-01-11 23:03:48.709145,1517,625.628173828
20,2024-01-11 23:03:49.076988,1514,622.822021484
21,2024-01-11 23:03:50.263895,359,46.834037781
22,2024-01-11 23:03:50.616914,1511,620.026428223
23,2024-01-11 23:03:50.970631,1579,685.998413086
24,2024-01-11 23:03:51.326736,1808,954.414916992
25,2024-01-11 23:03:51.682698,2130,1499.079711914
26,2024-01-11 23:03:52.041609,1739,865.166320801
27,2024-01-11 23:04:44.072293,54,2.786189556
28,2024-01-11 23:04:44.450160,678,132.127670288
29,2024-01-11 23:04:44.810901,850,196.575393677
30,2024-01-11 23:04:45.174410,976,253.512893677
31,2024-01-11 23:04:45.535837,1040,285.979919434
32,2024-01-11 23:04:45.899576,1073,303.730133057
33,2024-01-11 23:04:47.020144,126,9.605872154
34,2024-01-11 23:04:47.388991,1658,769.962890625
35,2024-01-11 23:04:47.775970,1907,1097.350341797
36,2024-01-11 23:04:48.148232,2043,1327.410766602
37,2024-01-11 23:04:48.518904,2095,1427.461791992
38,2024-01-11 23:04:48.890985,2057,1353.631835938
39,2024-01-11 23:04:49.264592,2007,1262.283813477
40,2024-01-11 23:04:49.638381,1968,1195.282226563
41,2024-01-11 23:04:50.012576,2031,1305.339599609
42,2024-01-11 23:04:50.389237,1779,915.934753418
